Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,1u,
"C10, C100, C101, C102, C103, C104, C11, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0402,96,100n,
C105,0603,1,4.7u DNP,
C12,0402,1,10n,
"C13, C14",0402,2,1u,
"C2, C4",0402,2,10p,
C5,0805,1,10u,
D1,0603,1,GREEN,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D9",D_SOD-123,87,1N4148W,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_REV,87,SK6812MINI-E,
"FB1, FB2, FB3",0603,3,120R,
"FID1, FID2, FID3, FID4, FID5, FID6",Fiducial_1mm_Mask2mm,6,Fiducial,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
"J2, J4",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J3,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
"MX1, MX11, MX12, MX13, MX14, MX15, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX30, MX31, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX47, MX48, MX49, MX50, MX51, MX52, MX54, MX55, MX56, MX57, MX58, MX60, MX61, MX62, MX63, MX64, MX66, MX67, MX68, MX69, MX7, MX75, MX76, MX77, MX78, MX79, MX8, MX80, MX81, MX82, MX83, MX84, MX85, MX86, MX87, MX9",MX-1U-RGB,72,MX-LED,
"MX10, MX16, MX53, MX59, MX6, MX65, MX74",MX-1.25U-RGB,7,MX-LED,
"MX3, MX71",MX-1.5U-RGB,2,MX-LED,
MX32,MX-6.25U-RGB,1,MX-LED,
MX4,MX-1.75U-RGB,1,MX-LED,
"MX5, MX72",MX-2.25U-RGB,2,MX-LED,
MX70,MX-2U-RGB,1,MX-LED,
MX73,MX-2.75U-RGB,1,MX-LED,
"R1, R2, R7, R8",0402,4,5k1,
R3,0402,1,1k,
"R4, R5",0402,2,10k,
R6,0402,1,10k DNP,
U1,SOT-23,1,MCP1700T-3302E/TT,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F070RBT6,
U4,TSSOP-8_4.4x3mm_P0.65mm,1,M24256-DFMN6TP,
U6,SOT-23-6,1,TXS0101DBV,
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,32MHz,
